ref,author,title,votes,language,has_gpu,has_tpu,approach_tags,import_tags,sloc,is_fork,parent_ref,has_optimizer,is_analysis,is_solution,is_ensemble,url,local_path,top_score,team,lb_rank
ashrafulhossenakash/70-7441-santa,Ashraful,70.7441 Santa,15,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/ashrafulhossenakash/70-7441-santa,downloaded/ashrafulhossenakash_70-7441-santa,70.744159990212,shr,5
abhishekgodara/santa-tree-challenge,Abhishek Godara,santa-tree-challenge🎅🎅,82,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/abhishekgodara/santa-tree-challenge,downloaded/abhishekgodara_santa-tree-challenge,70.518881891075,ST,143
samyakrajbayar/santa-packing-777,Samyakraj Bayar,Santa packing 777,4,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/samyakrajbayar/santa-packing-777,downloaded/samyakrajbayar_santa-packing-777,70.765924415908,Amy,40
bhargavaabhi/new-year-5,BhargavaAbhi,New Year 5,8,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/bhargavaabhi/new-year-5,downloaded/bhargavaabhi_new-year-5,70.770367929114,,
samyakrajbayar/fork-of-santa-submission,Samyakraj Bayar,Fork of Santa submission ,4,,false,false,Ensemble,numba;numpy;pandas;shapely,178,True,santa-submission,True,False,True,True,https://www.kaggle.com/code/samyakrajbayar/fork-of-santa-submission,downloaded/samyakrajbayar_fork-of-santa-submission,70.778912564186,Amy,40
zhangtengfei02/intergration-of-existing-result-current-best,Kaixuan Wang,Intergration of Existing Result(current best🚀🚀),110,,false,false,Translation;Ensemble,numpy;pandas;shapely,264,False,,True,False,True,True,https://www.kaggle.com/code/zhangtengfei02/intergration-of-existing-result-current-best,downloaded/zhangtengfei02_intergration-of-existing-result-current-best,70.445567191126,Kaixuan,34
xabirhasan/new-year-same-old-bbox,Abir,"New Year, Same Old BBOX",7,,false,false,Ensemble,numba;numpy;pandas;shapely,172,False,,False,False,True,True,https://www.kaggle.com/code/xabirhasan/new-year-same-old-bbox,downloaded/xabirhasan_new-year-same-old-bbox,70.924432101779,,
skarin/the-north-pole-tree-tribunal,SK Arin,🎄 The North Pole Tree Tribunal,12,,false,false,Ensemble,numpy;pandas;shapely,149,False,,False,False,True,True,https://www.kaggle.com/code/skarin/the-north-pole-tree-tribunal,downloaded/skarin_the-north-pole-tree-tribunal,71.007718697704,,
itsyoursumit/santa-claude-single-group-optimizer-subm1,Sumit Pandey,Santa_Claude_Single_Group_Optimizer_Subm1,4,,false,false,Translation;Ensemble,numpy;pandas;shapely,156,False,,True,False,True,True,https://www.kaggle.com/code/itsyoursumit/santa-claude-single-group-optimizer-subm1,downloaded/itsyoursumit_santa-claude-single-group-optimizer-subm1,71.00868258143,,
kmmmvs/fork-of-ffffffork-of-blending-multip-1e264d,Sung Heo,Fork of FFFFFFork of Blending + multip 1e264d,73,,false,false,Translation;Ensemble;Greedy,numba;numpy,200,True,ffffffork-of-blending-multip-1e264d,True,False,True,True,https://www.kaggle.com/code/kmmmvs/fork-of-ffffffork-of-blending-multip-1e264d,downloaded/kmmmvs_fork-of-ffffffork-of-blending-multip-1e264d,,Very Ape,64
ashishrajput9/santa-2025-fix-direction,Ashish Rajput,Santa 2025 - fix direction,1,,false,false,Ensemble,matplotlib;numpy;pandas;scipy;shapely,206,False,,True,False,True,True,https://www.kaggle.com/code/ashishrajput9/santa-2025-fix-direction,downloaded/ashishrajput9_santa-2025-fix-direction,,shr,5
sacuscreed/santa-2025-solutions-guided-refinement,Ángel Jacinto Sánchez Ruiz,Santa 2025 - Solutions Guided Refinement,0,,false,false,Sparrow;Translation;Ensemble,matplotlib;numpy;pandas;shapely,1621,False,,True,False,True,True,https://www.kaggle.com/code/sacuscreed/santa-2025-solutions-guided-refinement,downloaded/sacuscreed_santa-2025-solutions-guided-refinement,,Let me solo her!,72
guntasdhanjal/fork-of-santa-2025-simple-optimization,Guntas Dhanjal,Fork of Santa 2025 | simple optimization,49,,false,false,Ensemble,pandas;shapely,141,True,santa-2025-simple-optimization,False,False,True,True,https://www.kaggle.com/code/guntasdhanjal/fork-of-santa-2025-simple-optimization,downloaded/guntasdhanjal_fork-of-santa-2025-simple-optimization,72.730646315677,,
fuxiangting/santa25-ensemble-sa-fractional-translation,fuxiangting,[Santa25] Ensemble + SA + Fractional Translation,9,,false,false,Translation;Ensemble,multiprocessing;numba;numpy;pandas;shapely,1693,False,,True,False,True,True,https://www.kaggle.com/code/fuxiangting/santa25-ensemble-sa-fractional-translation,downloaded/fuxiangting_santa25-ensemble-sa-fractional-translation,72.984879040041,Anna,176
deeplumiere/santa-2025-sa,DeepLumiere,Santa 2025 SA,3,,false,false,Ensemble;Physics,,384,False,,True,False,True,True,https://www.kaggle.com/code/deeplumiere/santa-2025-sa,downloaded/deeplumiere_santa-2025-sa,,Team,37
eyestrain/blending-multiple-oplimisation,eyestrain,Blending + multiple oplimisation,57,,false,false,Translation;Ensemble;Greedy,matplotlib;multiprocessing;numba;numpy;pandas;scipy;shapely,1753,False,,True,False,True,True,https://www.kaggle.com/code/eyestrain/blending-multiple-oplimisation,downloaded/eyestrain_blending-multiple-oplimisation,72.088371226579,ST,143
qacenn/blending-blending-ble,Qacenn_,ИДУ blending blending ble,50,,false,false,Translation;Ensemble,multiprocessing;numba;numpy;pandas;shapely,1033,True,,True,False,True,True,https://www.kaggle.com/code/qacenn/blending-blending-ble,downloaded/qacenn_blending-blending-ble,72.833418297157,,
tonylica/santa-2025-quick-ensemble,Tony Li,Santa 2025: Quick Ensemble,60,,false,false,Ensemble,numba;numpy;pandas,215,False,,True,False,True,True,https://www.kaggle.com/code/tonylica/santa-2025-quick-ensemble,downloaded/tonylica_santa-2025-quick-ensemble,71.008683553457,Santa AI Chaotic Elves,12
crodoc/74-75-backpacking-christmas-trees,CroDoc,🔄[74.75]🔄 BackPacking Christmas Trees🎄,132,,false,false,Ensemble,matplotlib;numpy;pandas;shapely,413,False,,True,False,True,True,https://www.kaggle.com/code/crodoc/74-75-backpacking-christmas-trees,downloaded/crodoc_74-75-backpacking-christmas-trees,74.755136671091,CroDoc,208
muhammadibrahim3093/ensembling-santa-2025,Muhammad Ibrahim,Ensembling_Santa_2025,33,,false,false,Ensemble,numpy;pandas;shapely,93,False,,True,False,True,True,https://www.kaggle.com/code/muhammadibrahim3093/ensembling-santa-2025,downloaded/muhammadibrahim3093_ensembling-santa-2025,84.312212721515,ST,143
adrienthomas/the-antichrist,Adrien Thomas,The antichrist,6,,false,false,Ensemble;Physics;Greedy,numpy;pandas;scipy;sklearn;torch,231,False,,True,False,False,True,https://www.kaggle.com/code/adrienthomas/the-antichrist,downloaded/adrienthomas_the-antichrist,,,
barkataliarbab/santa-2025-christmas-tree-packing-challenge,Barkat Ali Arbab,Santa 2025 Christmas Tree Packing Challenge,4,,false,false,SA;Ensemble,matplotlib;numpy;pandas;shapely,210,False,,True,False,True,True,https://www.kaggle.com/code/barkataliarbab/santa-2025-christmas-tree-packing-challenge,downloaded/barkataliarbab_santa-2025-christmas-tree-packing-challenge,98.504426129098,Ali,95
sacuscreed/santa-2025-solutions-refinement,Ángel Jacinto Sánchez Ruiz,Santa 2025 - Solutions Refinement,0,,false,false,Ensemble;Greedy,matplotlib;numpy;pandas;shapely,276,False,,False,True,True,True,https://www.kaggle.com/code/sacuscreed/santa-2025-solutions-refinement,downloaded/sacuscreed_santa-2025-solutions-refinement,70.094367191845,Let me solo her!,72
